Date;Calories Burned;Steps;Distance;Floors;Minutes Sedentary;Minutes Lightly Active;Minutes Fairly Active;Minutes Very Active;Activity Calories
1-3-2018;2982;4908;3.91;28;856;111;50;38;1249
2-3-2018;3848;18779;16.91;51;679;177;15;98;2232
3-3-2018;2869;5316;4.24;2;798;95;1;48;1077
4-3-2018;2708;5506;4.39;8;753;191;18;6;979
5-3-2018;2753;6771;5.4;6;787;185;6;20;1042
6-3-2018;2868;7004;5.58;4;777;166;11;32;1151
7-3-2018;2229;1387;1.11;0;864;87;0;0;340
8-3-2018;2882;6620;5.28;11;758;180;9;32;1166
9-3-2018;3658;16552;14.78;11;673;180;15;82;2030
10-3-2018;3240;10831;10.35;3;802;140;1;52;1440
11-3-2018;3054;10121;8.07;3;707;210;12;42;1399
12-3-2018;3418;13809;11.01;10;712;129;26;92;1763
13-3-2018;2681;5520;4.42;13;867;144;10;17;901
14-3-2018;2974;11183;8.91;12;748;111;22;64;1266
15-3-2018;2814;8137;6.49;27;775;156;14;23;1067
16-3-2018;3437;15273;13.92;21;731;126;21;78;1731
17-3-2018;3213;10888;8.78;30;614;156;42;58;1527
18-3-2018;3260;11748;9.36;31;716;263;18;39;1683
19-3-2018;2811;6254;4.98;12;779;144;9;31;1062
20-3-2018;3177;8322;6.6;16;731;166;45;55;1523
21-3-2018;2628;4397;3.5;5;834;98;9;36;848
22-3-2018;2435;3531;2.81;2;907;92;21;5;546
23-3-2018;2964;9080;7.24;12;781;145;33;37;1246
24-3-2018;4453;22746;20.56;12;521;250;38;130;2977
25-3-2018;3195;12208;10.62;9;729;155;11;70;1504
26-3-2018;2818;4679;3.73;0;789;156;8;23;1076
27-3-2018;2392;1714;1.37;0;861;120;0;0;525
28-3-2018;3132;11936;9.54;16;703;126;36;73;1471
29-3-2018;3003;7071;5.64;25;803;220;10;11;1313
30-3-2018;2666;4759;3.79;12;748;173;9;14;908
31-3-2018;3157;8475;6.75;14;733;218;7;41;1503
