Date;Weight;BMI;Fat;Calories Burned;Steps;Distance;Floors;Minutes Sedentary;Minutes Lightly Active;Minutes Fairly Active;Minutes Very Active;Activity Calories;Start Time;End Time;Minutes Asleep;Minutes Awake;Number of Awakenings;Time in Bed;Minutes REM Sleep;Minutes Light Sleep;Minutes Deep Sleep
1-4-2018;82.7;22.43;0;2,811;6,739;5.37;12;823;128;16;36;1,077;1-4-2018 01:00;1-4-2018 08:17;394;43;32;437;105;188;101
2-4-2018;82.63;22.42;0;3,217;13,318;10.61;22;697;177;44;58;1,585;2-4-2018 23:14;3-4-2018 07:17;405;78;38;483;79;214;112
3-4-2018;82.57;22.4;0;2,763;6,706;5.36;3;756;165;9;27;1,051;2-4-2018 00:55;2-4-2018 08:39;389;75;24;464;75;251;63
4-4-2018;82.51;22.38;0;2,659;5,892;4.7;8;780;199;0;0;923;3-4-2018 23:41;4-4-2018 07:22;377;84;34;461;38;264;75
5-4-2018;82.45;22.37;0;2,856;7,031;5.6;16;781;149;18;42;1,145;4-4-2018 23:35;5-4-2018 07:05;401;49;27;450;115;189;97
6-4-2018;82.39;22.35;0;3,489;13,787;13.51;17;718;174;15;57;1,785;5-4-2018 23:26;6-4-2018 07:22;399;77;28;476;79;253;67
7-4-2018;82.33;22.33;0;3,306;10,06;8.02;28;674;261;16;29;1,714;6-4-2018 23:59;7-4-2018 07:39;390;70;30;460;78;208;104
8-4-2018;82.27;22.32;0;2,887;6,67;5.32;17;789;125;30;32;1,123;7-4-2018 23:51;8-4-2018 07:35;376;88;25;464;51;265;60
9-4-2018;82.21;22.3;0;2,809;6,436;5.15;11;816;131;25;34;1,074;8-4-2018 23:39;9-4-2018 06:53;343;91;18;434;63;227;53
10-4-2018;82.15;22.28;0;2,946;7,256;5.78;9;787;153;34;40;1,272;9-4-2018 23:43;10-4-2018 06:49;357;69;30;426;55;215;87
11-4-2018;82.09;22.27;0;3,691;15,34;12.23;12;591;166;32;109;2,119;10-4-2018 23:42;11-4-2018 07:07;377;68;33;445;52;239;86
12-4-2018;82.02;22.25;0;2,913;8,399;6.69;13;736;143;5;45;1,19;11-4-2018 22:37;12-4-2018 07:08;412;99;35;511;70;266;76
13-4-2018;81.96;22.23;0;2,991;7,872;6.27;25;699;195;15;29;1,326;12-4-2018 23:07;13-4-2018 07:29;420;82;32;502;55;288;77
14-4-2018;81.9;22.22;0;3,373;9,607;7.41;12;640;176;28;62;1,738;13-4-2018 23:25;14-4-2018 08:19;438;96;38;534;75;264;99
15-4-2018;81.84;22.2;0;3,138;9,85;9.1;17;740;127;23;60;1,434;15-4-2018 22:58;16-4-2018 07:11;433;60;35;493;48;346;39
16-4-2018;81.78;22.18;0;2,749;5,892;4.7;9;760;141;17;29;1,001;15-4-2018 00:44;15-4-2018 08:54;408;82;32;490;83;248;77
17-4-2018;81.7;22.16;0;2,81;6,527;5.2;7;758;163;23;20;1,078;16-4-2018 22:57;17-4-2018 06:53;389;87;27;476;45;290;54
18-4-2018;81.76;22.18;0;3,119;9,144;7.33;10;703;214;13;21;1,452;17-4-2018 23:26;18-4-2018 07:35;414;75;34;489;58;279;77
19-4-2018;81.81;22.19;0;3,144;8,218;6.55;7;793;172;26;40;1,488;19-4-2018 23:59;20-4-2018 07:02;347;76;23;423;44;234;69
20-4-2018;81.87;22.21;0;3,695;12,138;9.62;5;598;351;39;29;2,223;19-4-2018 00:35;19-4-2018 07:24;354;55;28;409;71;188;95
21-4-2018;81.93;22.22;0;4,251;22,022;20.74;5;579;224;23;129;2,7;20-4-2018 23:56;21-4-2018 08:01;399;86;39;485;54;260;85
22-4-2018;81.99;22.24;0;3,882;18,077;14.41;10;524;209;40;111;2,369;21-4-2018 23:28;22-4-2018 08:44;461;95;34;556;87;267;107
23-4-2018;82.04;22.26;0;2,599;4,969;3.96;14;736;158;7;4;855;22-4-2018 22:40;23-4-2018 07:35;436;99;33;535;43;324;69
24-4-2018;82.1;22.27;0;4,297;17,184;17.53;10;637;179;43;118;2,764;23-4-2018 23:14;24-4-2018 06:57;372;91;25;463;42;250;80
25-4-2018;82.16;22.29;0;3,039;9,106;7.26;25;683;177;37;28;1,368;24-4-2018 22:51;25-4-2018 07:26;430;85;35;515;72;292;66
26-4-2018;82.21;22.3;0;2,958;8,655;6.9;1;774;151;21;40;1,236;25-4-2018 23:25;26-4-2018 06:59;388;66;25;454;58;256;74
27-4-2018;82.27;22.32;0;3,901;17,803;14.19;3;557;221;56;109;2,433;27-4-2018 01:25;27-4-2018 09:42;407;90;31;497;65;247;95
28-4-2018;82.33;22.33;0;3,733;17,802;16.38;4;582;192;32;82;2,127;28-4-2018 01:07;28-4-2018 10:19;445;107;29;552;74;280;91
29-4-2018;82.38;22.35;0;2,962;7,79;6.21;2;699;207;28;29;1,306;29-4-2018 23:18;30-4-2018 07:08;391;79;31;470;47;227;117
30-4-2018;82.44;22.36;0;2,163;1,116;0.89;0;909;61;0;0;248;29-4-2018 00:48;29-4-2018 08:45;387;90;34;477;48;285;54
